Classifier,F1 Score,Accuracy
"RandomForestClassifier (Optimized) n=491, Max_leaf = 807Cross_val",0.8931652830304639,0.8932409012131715
"RandomForestClassifier (Optimized) n=491, Max_leaf = 807Resub",1.0,1.0
"RandomForestClassifier (Optimized) n=491, Max_leaf = 807Test",0.9215012702713095,0.9215
"RandomForestClassifier n=200, Max_leaf = 400Cross_val",0.874314938808505,0.8743500866551125
"RandomForestClassifier n=200, Max_leaf = 400Resub",0.9814597660236906,0.9814558058925477
"RandomForestClassifier n=200, Max_leaf = 400Test",0.8829872764706909,0.883
"RandomForestClassifier n=100, Max_leaf = 50Cross_val",0.7244680551694808,0.724263431542461
"RandomForestClassifier n=100, Max_leaf = 50Resub",0.7627715204207423,0.7623916811091854
"RandomForestClassifier n=100, Max_leaf = 50Test",0.7224603300752346,0.722
"RandomForestClassifier  n=100, Max_leaf = 100Cross_val",0.779385350203123,0.7792027729636049
"RandomForestClassifier  n=100, Max_leaf = 100Resub",0.8391821185408496,0.8388214904679376
"RandomForestClassifier  n=100, Max_leaf = 100Test",0.7783384930426918,0.778
"RandomForestClassifier n=100, Max_leaf = 200Cross_val",0.8285273229137072,0.8285961871750434
"RandomForestClassifier n=100, Max_leaf = 200Resub",0.9185025555332984,0.9185441941074524
"RandomForestClassifier n=100, Max_leaf = 200Test",0.8312864509091575,0.8315
"RandomForestClassifier (default) n=100, Max_leaf = NoneCross_val",0.8929984935093703,0.8930675909878681
"RandomForestClassifier (default) n=100, Max_leaf = NoneResub",1.0,1.0
"RandomForestClassifier (default) n=100, Max_leaf = NoneTest",0.9195165339626785,0.9195
"RandomForestClassifier n=50, Max_leaf = NoneCross_val",0.8904161395611381,0.8904679376083188
"RandomForestClassifier n=50, Max_leaf = NoneResub",1.0,1.0
"RandomForestClassifier n=50, Max_leaf = NoneTest",0.922505480944699,0.9225
"RandomForestClassifier n=10, Max_leaf = NoneCross_val",0.8759511074203438,0.8760831889081455
"RandomForestClassifier n=10, Max_leaf = NoneResub",0.9963612854257737,0.9963604852686309
"RandomForestClassifier n=10, Max_leaf = NoneTest",0.8980455881534304,0.898
"RandomForestClassifier n=150, Max_leaf = NoneCross_val",0.893897366994104,0.8939341421143847
"RandomForestClassifier n=150, Max_leaf = NoneResub",1.0,1.0
"RandomForestClassifier n=150, Max_leaf = NoneTest",0.9214976154547411,0.9215
